MOA,MNA,EOA,C17.0,Year
346,53,86,26.943,2011
537,206,42,21.565,2011
387,68,69,22.457,2011
514,207,62,22.559,2011
384,72,64,29.183,2011
138,30,38,18.011,2011
518,199,49,19.325,2011
490,105,88,24.36,2011
236,43,41,19.616,2011
323,78,85,22.009,2011
197,39,32,21.508,2011
291,40,55,22.65,2011
170,31,49,24.298,2011
278,38,61,23.889,2011
110,26,20,23.335,2011
220,29,52,24.476,2011
374,59,69,23.137,2011
222,29,70,20.841,2011
254,38,39,20.546,2011
93,7,43,25.39,2011
172,21,54,18.745,2011
208,30,43,22.623,2011
225,31,41,23.031,2011
130,19,23,24.515,2011
640,118,65,20.573,2011
324,76,39,20.61,2011
183,35,45,23.144,2011
116,18,43,18.658,2011
97,10,56,14.217,2011
284,70,46,19.997,2011
239,54,35,22.071,2011
171,25,39,23.145,2011
70,12,34,19.051,2011
240,71,36,20.191,2011
279,49,44,21.948,2011
217,46,41,20.233,2011
140,30,37,17.49,2011
124,21,32,21.937,2011
239,41,61,21.944,2011
164,27,50,20.478,2011
364,119,50,22.145,2011
237,53,49,21.38,2011
220,56,48,20.464,2011
203,42,38,20.074,2011
207,55,46,19.803,2011
170,45,46,16.401,2011
203,36,38,22.994,2011
203,39,28,20.065,2011
273,63,57,22.497,2011
184,26,45,18.84,2011
179,60,34,21.498,2011
307,229,39,25.056,2011
241,37,43,19.971,2011
309,63,63,19.577,2011
191,26,72,19.223,2011
219,42,33,20.127,2011
386,69,94,19.176,2011
80,10,23,15.883,2011
125,21,54,15.847,2011
198,22,57,16.979,2011
231,31,70,17.322,2011
136,15,86,14.557,2011
390,92,59,15.171,2011
140,26,42,23.308,2011
274,53,62,23.65,2011
121,20,35,20.44,2011
93,23,18,21.567,2011
73,7,24,19.113,2011
106,16,33,20.206,2011
109,19,31,19.188,2011
138,15,32,18.404,2011
173,15,71,11.915,2011
108,18,45,16.967,2011
81,9,39,16.267,2011
136,20,33,14.09,2011
75,10,29,13.427,2011
119,10,61,10.118,2011
165,24,71,16.797,2011
149,54,31,27.614,2011
124,17,27,17.329,2011
95,9,42,15.227,2011
81,12,36,15.85,2011
100,23,22,19.828,2011
74,16,35,18.299,2011
116,18,42,18.711,2011
47,9,10,17.62,2011
73,16,29,12.868,2011
100,26,24,19.165,2011
75,11,26,19.364,2011
127,16,51,16.523,2011
954,218,111,18.748,2011
1322,570,79,18.315,2011
450,57,81,19.252,2011
459,36,187,19.624,2011
899,348,66,19.728,2011
316,79,44,19.043,2011
780,131,135,18.86,2011
390,33,151,24.287,2011
686,141,113,22.939,2011
199,11,117,18.583,2011
339,36,145,21.697,2011
544,105,133,19.997,2011
562,64,246,21.4,2011
412,92,71,19.959,2011
1697,828,120,18.308,2011
573,130,98,20.811,2011
605,126,122,22.016,2011
442,88,86,20.255,2011
551,129,98,16.47,2011
793,128,168,20.851,2011
906,107,320,22.44,2011
102,11,78,12.236,2011
285,106,64,14.667,2011
218,43,95,16.516,2011
256,34,152,13.042,2011
137,13,114,14.66,2011
196,22,70,13.385,2011
180,31,85,14.627,2011
244,55,67,11.909,2011
318,117,41,15.899,2011
280,63,97,16.338,2011
268,53,100,15.407,2011
153,26,57,13.143,2011
181,62,58,18.663,2011
298,111,98,14.618,2011
255,110,80,15.105,2011
312,64,98,18.153,2011
79,50,50,7.415,2011
768,158,186,15.482,2011
168,27,85,15.959,2011
129,16,107,13.498,2011
342,66,48,17.312,2011
172,19,77,13.158,2011
366,98,63,19.079,2011
280,31,73,15.444,2011
312,107,60,12.571,2011
269,34,106,17.753,2011
573,155,111,12.282,2011
405,73,119,14.007,2011
327,56,128,16.732,2011
181,40,63,11.311,2011
353,113,49,15.267,2011
426,97,92,12.597,2011
301,95,89,10.756,2011
296,96,61,18.553,2011
184,22,108,21.85,2011
827,435,60,25.374,2011
423,87,117,20.169,2011
103,8,66,26.211,2011
622,226,88,26.966,2011
535,260,58,26.064,2011
650,157,163,22.865,2011
622,249,116,26.619,2011
241,51,60,28.177,2011
791,209,90,21.968,2011
958,384,74,23.668,2011
405,137,129,24.184,2011
689,403,56,22.497,2011
162,22,67,25.807,2011
499,187,65,23.292,2011
426,136,79,25.165,2011
354,78,91,26.402,2011
344,95,74,35.211,2011
433,60,169,29.148,2011
640,285,53,28.669,2011
943,377,86,26.023,2011
1173,586,92,23.092,2011
1021,344,116,22.098,2011
591,129,128,22.9,2011
932,767,54,26.945,2011
825,303,129,28.549,2011
406,86,74,25.258,2011
484,73,120,22.324,2011
510,56,188,29.095,2011
113,27,59,11.241,2011
59,7,57,9.468,2011
161,56,41,11.807,2011
126,19,89,8.721,2011
81,10,86,11.988,2011
107,13,52,11.869,2011
414,162,72,3.08,2014
161,75,19,2.33,2014
382,169,57,3.27,2014
264,136,36,2.24,2014
491,164,94,3.09,2014
177,91,21,1.99,2014
600,249,97,2.84,2014
325,167,48,2.45,2014
110,56,11,1.75,2014
231,156,27,2.29,2014
250,133,31,1.92,2014
105,72,12,1.87,2014
343,128,55,2.48,2014
292,152,58,2.79,2014
182,103,18,1.85,2014
86,59,8,1.76,2014
415,140,97,4,2014
269,124,42,1.93,2014
484,201,74,2.7,2014
428,171,62,2.87,2014
261,162,22,1.91,2014
372,130,83,3.4,2014
86,72,11,1.7,2014
393,196,76,2.69,2014
388,169,45,2.44,2014
356,271,46,2.8,2014
72,60,7,1.99,2014
756,452,111,3.47,2014
183,147,20,2.17,2014
340,181,33,2.24,2014
155,56,49,2.11,2014
159,121,15,1.88,2014
